platform,session_id,time_since_calibration,calibration_interval,drift_magnitude,ler_baseline,ler_daqec,improvement_pct
ibm,59,10.188422177979195,24.0,0.727,0.2624310020405435,0.28432703751398924,-8.343539941238726
ibm,60,0.6833814354743266,24.0,0.727,0.22138037681323047,0.22943586724842796,-3.638755408747711
ibm,61,7.182761784232844,24.0,0.727,0.20569309132755623,0.21618737348608355,-5.10191280163887
ibm,62,4.102648446660049,24.0,0.727,0.21094334741143003,0.21954193624991195,-4.076255043829837
ibm,63,19.37984068920904,24.0,0.727,0.23664672922877722,0.26135396200514355,-10.44055536152402
ibm,64,20.62453788212753,24.0,0.727,0.265466223992026,0.29324715069696067,-10.464957193864755
ibm,65,20.449435619407293,24.0,0.727,0.24629574179346755,0.2728000925043197,-10.761189177634051
ibm,66,13.521644367546656,24.0,0.727,0.21052820219520502,0.23685026873892065,-12.502869577211989
ibm,67,16.46979498664623,24.0,0.727,0.2409024209839151,0.2601728333294921,-7.999260558225637
ibm,68,16.782806307501104,24.0,0.727,0.24482500729040965,0.2743405929281306,-12.055788730237754
ibm,69,9.014135591197054,24.0,0.727,0.21298881417182053,0.2211927799428571,-3.8518294037819008
ibm,70,10.465416464908085,24.0,0.727,0.24567008658806253,0.2638780430122325,-7.411548014268793
ibm,71,22.800397905724008,24.0,0.727,0.24269255678780793,0.26007493095486656,-7.162302131192454
ibm,72,3.064265621604286,24.0,0.727,0.20646768054244077,0.21459085460270927,-3.9343562338313403
ibm,73,18.371830524697103,24.0,0.727,0.2505207667014119,0.270378480187672,-7.92657381171436
ibm,74,9.92860160323802,24.0,0.727,0.20746989905661428,0.21747056291465874,-4.820296295278712
ibm,75,22.287443430478987,24.0,0.727,0.22077234104109658,0.22996208233135573,-4.1625419411340525
ibm,76,5.543080718788257,24.0,0.727,0.21461045194194114,0.23800121961091544,-10.899174507727254
ibm,77,1.4069944577812237,24.0,0.727,0.2066181465561958,0.21462319382869632,-3.874319562886667
ibm,78,4.8971452225681125,24.0,0.727,0.21546584635232538,0.23146449899557808,-7.4251455226421506
ibm,79,14.96893708089442,24.0,0.727,0.23565234850843966,0.24282826709150018,-3.045129245891441
ibm,80,5.5910997047143125,24.0,0.727,0.22046755622335024,0.23476290715162298,-6.484106402390781
ibm,81,6.275478393389964,24.0,0.727,0.21308259872514448,0.2180651791383923,-2.3383328545165942
ibm,82,5.444434885540875,24.0,0.727,0.2266784481762985,0.24296647281739742,-7.185519740469965
ibm,83,13.735524879155973,24.0,0.727,0.22564982936999073,0.2367864023612891,-4.935334107006161
ibm,84,15.061919658985822,24.0,0.727,0.2248559641292648,0.24483249352708278,-8.884144779159111
ibm,85,13.921084180861499,24.0,0.727,0.22162245362730001,0.23993791057102004,-8.264260522320958
ibm,86,4.463167492810469,24.0,0.727,0.2133763798868493,0.2163337732102643,-1.3859984525856548
ibm,87,3.153803476163688,24.0,0.727,0.19950886281304075,0.20552759895623324,-3.0167763267903664
ibm,88,14.52708570301266,24.0,0.727,0.21865853541256589,0.23232216860845284,-6.248845109159059
ibm,89,13.315014997544026,24.0,0.727,0.24087908284819853,0.2528065733688309,-4.951650587340136
ibm,90,9.31269328281615,24.0,0.727,0.22203122765133224,0.2399349040466118,-8.06358483203754
ibm,91,19.887303400975785,24.0,0.727,0.23563206092921923,0.2504123895978483,-6.2726305623872065
ibm,92,2.6293469547334416,24.0,0.727,0.2087977028633646,0.21579360995047744,-3.350567075774249
ibm,93,15.065895745451646,24.0,0.727,0.21768513723206495,0.22974671222984291,-5.540835332694131
ibm,94,4.689556214701917,24.0,0.727,0.21597038741694713,0.2266719574290109,-4.955109883376544
ibm,95,5.12308522151137,24.0,0.727,0.23148557412801934,0.23714828323161283,-2.4462470825338833
ibm,96,11.99040827643954,24.0,0.727,0.23426818098860513,0.2536806418184504,-8.28642658508946
ibm,97,7.776660665853029,24.0,0.727,0.24333096649612207,0.27303011060853377,-12.205246434544948
ibm,98,22.421360205595647,24.0,0.727,0.2514353973226099,0.28611510069752794,-13.792689392266222
ibm,99,0.02363463392891685,24.0,0.727,0.19575697756432786,0.19980870590638514,-2.069774672898101
google,0,0.5163969836668119,12.0,0.5,0.20211823639036622,0.21426534476238537,-6.009902218104915
google,1,8.783927301736862,12.0,0.5,0.23092350546407803,0.2753218594000262,-19.226433379626084
google,2,1.6006915702318594,12.0,0.5,0.20133323579966075,0.22474644471051794,-11.629082907183195
google,3,4.311730053696863,12.0,0.5,0.22284270784885876,0.25001573835370466,-12.193816332224694
google,4,3.377367623460754,12.0,0.5,0.2225441696776855,0.24409955248508602,-9.685889699388461
google,5,2.9885170981889866,12.0,0.5,0.19475541871308857,0.21885711822888618,-12.37536787169139
