drift_model,session_id,time_since_calibration,ler_baseline,ler_daqec,improvement_pct
gaussian,89,13.315014997544026,0.24087908284819853,0.2528065733688309,-4.951650587340136
gaussian,90,9.31269328281615,0.22203122765133224,0.2399349040466118,-8.06358483203754
gaussian,91,19.887303400975785,0.23563206092921923,0.2504123895978483,-6.2726305623872065
gaussian,92,2.6293469547334416,0.2087977028633646,0.21579360995047744,-3.350567075774249
gaussian,93,15.065895745451646,0.21768513723206495,0.22974671222984291,-5.540835332694131
gaussian,94,4.689556214701917,0.21597038741694713,0.2266719574290109,-4.955109883376544
gaussian,95,5.12308522151137,0.23148557412801934,0.23714828323161283,-2.4462470825338833
gaussian,96,11.99040827643954,0.23426818098860513,0.2536806418184504,-8.28642658508946
gaussian,97,7.776660665853029,0.24333096649612207,0.27303011060853377,-12.205246434544948
gaussian,98,22.421360205595647,0.2514353973226099,0.28611510069752794,-13.792689392266222
gaussian,99,0.02363463392891685,0.19575697756432786,0.19980870590638514,-2.069774672898101
power_law,0,1.0327939673336237,0.20234534154655456,0.2075596170114931,-2.5769189570093842
power_law,1,17.567854603473723,0.2350358062151528,0.2644158954578631,-12.500261009514283
power_law,2,3.2013831404637187,0.19917895943847563,0.20997634639238588,-5.420947566123545
power_law,3,8.623460107393726,0.21829511902626983,0.23349312358116034,-6.962136681151157
power_law,4,6.754735246921508,0.2204470498349128,0.23077337392615013,-4.684265041863996
power_law,5,5.977034196377973,0.19723135009703763,0.2078636342914939,-5.39076784153493
power_law,6,16.982523318217943,0.22432969502474895,0.2372725892248537,-5.769585786971644
power_law,7,19.008822255730305,0.22563608832475326,0.25896714494717804,-14.772041507142283
power_law,8,22.232043241420214,0.22241436502120326,0.24981731555817424,-12.320674761433953
power_law,9,6.131374170173072,0.2069180069280202,0.21723288966751525,-4.985009711157351
power_law,10,8.239288141022215,0.22577221101968648,0.23428381457317818,-3.7699961014021888
power_law,11,2.35882716808558,0.20459644332927443,0.20969230363780356,-2.4906886090526634
power_law,12,10.917009657738069,0.19758999912128508,0.22234166976528963,-12.526783113558004
power_law,13,4.437040506274841,0.1922756960753166,0.1997104946447828,-3.8667386056706263
power_law,14,12.746971915374075,0.21822148038532616,0.22307808540584934,-2.2255393978391105
power_law,15,8.506715151384565,0.21466936426274744,0.22892120473676364,-6.638972693175012
power_law,16,9.865465695333906,0.2068558762309245,0.22346289619468845,-8.028304666203747
power_law,17,11.905448370426948,0.20182021221981022,0.21626257897733883,-7.156055678803304
power_law,18,6.150733387440131,0.2038201350102178,0.20848655475948027,-2.289479274963942
power_law,19,7.756384247237267,0.20808158535339322,0.2175323562413447,-4.541858363824395
power_law,20,21.05584243696926,0.22686978380008474,0.25576790642468383,-12.737757378066625
power_law,21,20.30604233474119,0.22304373790252663,0.24433962443410948,-9.547852242724456
power_law,22,1.1550425419218406,0.21001323196794014,0.21690922555441444,-3.283599572205536
power_law,23,14.294220303770924,0.22165539935237505,0.23754983329195128,-7.170785817090869
power_law,24,7.281033141081848,0.22679420159485583,0.23412412436144633,-3.2319709741453813
power_law,25,4.666801376012824,0.2228608046816296,0.22908140994453663,-2.7912513695683443
power_law,26,16.4614220775979,0.2167608599140864,0.22561592008594963,-4.08517486753511
power_law,27,14.65864277993161,0.23590506590912882,0.25063667701970727,-6.244720118156805
power_law,28,8.406060605361874,0.22725974620725803,0.2340168463306518,-2.973293878992276
power_law,29,7.603981708577748,0.2040581682401185,0.21500773254638142,-5.365903458164145
power_law,30,19.965508767292075,0.24478082540002186,0.2696499144054047,-10.159737375156602
power_law,31,12.839102817386092,0.23438479740347573,0.25370196749516577,-8.241648052982288
power_law,32,12.285551579007121,0.22537642889159354,0.24183306973154478,-7.301846480080184
power_law,33,20.65289374168875,0.2447249735152162,0.25865214724685864,-5.690949122025958
power_law,34,21.31465607760617,0.26773949973146294,0.27967869142240265,-4.45925674131552
power_law,35,8.034062989716602,0.21706644002940256,0.22566128058164384,-3.959543700572537
power_law,36,18.08909351350024,0.23932273668838047,0.2545791191436897,-6.374815308574041
power_law,37,19.168705629691242,0.20016619192920232,0.20556690099640165,-2.6981125109826407
power_law,38,12.018780615413576,0.2545599986885421,0.2618921222249677,-2.880312529148209
power_law,39,6.4768553057508065,0.1997667512503486,0.21134449367076638,-5.795630327845951
power_law,40,22.394554614757677,0.24147956292765532,0.25846419679279564,-7.033569905138818
power_law,41,14.973581096049116,0.2371580107084563,0.2581111297856324,-8.835088055673664
power_law,42,15.927402181658774,0.22162882021983762,0.23920038382485045,-7.928374833012818
power_law,43,5.815638419793713,0.21084019183186747,0.21693162255918166,-2.889122170867566
power_law,44,7.157876202209488,0.20565306890815963,0.21503401940530323,-4.561541700762531
power_law,45,3.6633058392059024,0.2129411697252562,0.22526043476185742,-5.785290393819074
power_law,46,23.301024839851593,0.25982072586161603,0.28472904933602916,-9.586734619346586
power_law,47,12.680193123653746,0.20574923871385029,0.22015496955159095,-7.00159617979229
power_law,48,6.194415143725788,0.20593812471890904,0.21080767129082442,-2.3645677936331433
power_law,49,23.651786740395664,0.2417344734869036,0.25696946296107664,-6.3023652582172645
power_law,50,7.115992528825731,0.2143596585599974,0.22612087655341157,-5.486675091956406
power_law,51,10.19347515540258,0.23603095835165486,0.2409401499594079,-2.0798930962433344
power_law,52,7.373784224245678,0.2239995756224187,0.23190527054270993,-3.52933477589142
power_law,53,16.55667874989033,0.2291341922095236,0.24276423318222393,-5.9484971846702015
power_law,54,21.272632103577568,0.25399229537996415,0.2793517876811687,-9.984354944022053
power_law,55,19.613648955922965,0.21868094677379488,0.22315435978479764,-2.045634554358361
power_law,56,18.5091981122341,0.23107627539339934,0.2692171991113476,-16.50577224036292
power_law,57,7.229373361199831,0.20875070876251006,0.21995969418306913,-5.369555623071545
power_law,58,19.81188417686151,0.21472160319206554,0.23406869264594113,-9.010313432025692
power_law,59,10.188422177979195,0.2570009309599315,0.27255742894206003,-6.0530901285155
power_law,60,0.6833814354743266,0.21592909389936557,0.22135206980840808,-2.5114614298200593
power_law,61,7.182761784232844,0.19708193607162489,0.20791032055559708,-5.494356661909828
