platform,session_id,time_since_calibration,calibration_interval,drift_magnitude,ler_baseline,ler_daqec,improvement_pct
ibm,62,4.102648446660049,24.0,0.727,0.20074474232116904,0.20844642940657365,-3.8365573097216057
ibm,63,19.37984068920904,24.0,0.727,0.21723628683648563,0.23111581228406547,-6.389137675708385
ibm,64,20.62453788212753,24.0,0.727,0.25285450789695085,0.26733123159746935,-5.725317622740739
ibm,65,20.449435619407293,24.0,0.727,0.22701831279903578,0.23060190742168804,-1.578548698767124
ibm,66,13.521644367546656,24.0,0.727,0.19607494823095314,0.2065100970776013,-5.322020452279693
ibm,67,16.46979498664623,24.0,0.727,0.21793439249582036,0.23386006480099208,-7.307553490198732
ibm,68,16.782806307501104,24.0,0.727,0.22062855113897767,0.24514125205605003,-11.110393822797393
ibm,69,9.014135591197054,24.0,0.727,0.19201893873766948,0.19201893873766948,0.0
ibm,70,10.465416464908085,24.0,0.727,0.22316773875194665,0.2321947900175169,-4.044962464580916
ibm,71,22.800397905724008,24.0,0.727,0.21740070855158342,0.22246129655393623,-2.327769783304121
ibm,72,3.064265621604286,24.0,0.727,0.1953391013699932,0.2059681219010043,-5.441317409809626
ibm,73,18.371830524697103,24.0,0.727,0.21965936293752839,0.239844087377558,-9.189102695235528
ibm,74,9.92860160323802,24.0,0.727,0.1947888404694885,0.2027391855002479,-4.081519768584856
ibm,75,22.287443430478987,24.0,0.727,0.2014563756197663,0.20247383426000962,-0.5050515959662184
ibm,76,5.543080718788257,24.0,0.727,0.20219581606801595,0.2135281725502504,-5.604644399972342
ibm,77,1.4069944577812237,24.0,0.727,0.19239903811939132,0.19814689672638663,-2.9874674339216463
ibm,78,4.8971452225681125,24.0,0.727,0.20534343163070648,0.21833046352152147,-6.324542152471237
ibm,79,14.96893708089442,24.0,0.727,0.22101894931460125,0.22933419152172477,-3.7622304480723456
ibm,80,5.5910997047143125,24.0,0.727,0.2080507220319093,0.21367307752488798,-2.7023965300713377
ibm,81,6.275478393389964,24.0,0.727,0.1969602997083848,0.20289257583849482,-3.0119146543202975
ibm,82,5.444434885540875,24.0,0.727,0.21707798153329746,0.22593151364195044,-4.078503055039202
ibm,83,13.735524879155973,24.0,0.727,0.20283615071495753,0.20739791655933226,-2.2489905415259583
ibm,84,15.061919658985822,24.0,0.727,0.20350743009020064,0.21355974977960554,-4.939534485276241
ibm,85,13.921084180861499,24.0,0.727,0.21228290755681165,0.2267831226819911,-6.830608875704644
ibm,86,4.463167492810469,24.0,0.727,0.19241783577455546,0.1980012347127858,-2.901705507576793
ibm,87,3.153803476163688,24.0,0.727,0.18804353691461767,0.1960775084451497,-4.272399712509083
ibm,88,14.52708570301266,24.0,0.727,0.20813017907895767,0.21136289637525402,-1.5532189087628465
ibm,89,13.315014997544026,24.0,0.727,0.23059086630479256,0.24300934593897983,-5.385503698907421
ibm,90,9.31269328281615,24.0,0.727,0.20657982479306528,0.2201527788802192,-6.570319294611752
ibm,91,19.887303400975785,24.0,0.727,0.2043374259064378,0.21747131576974615,-6.427549826003048
ibm,92,2.6293469547334416,24.0,0.727,0.19464346854652034,0.19689614727978832,-1.1573358973150365
ibm,93,15.065895745451646,24.0,0.727,0.20566511343629687,0.20566511343629687,0.0
ibm,94,4.689556214701917,24.0,0.727,0.20327865328752195,0.2115585273492585,-4.073164559008226
ibm,95,5.12308522151137,24.0,0.727,0.2163268715772615,0.218991106814581,-1.2315784987293992
ibm,96,11.99040827643954,24.0,0.727,0.22346454572341004,0.22346454572341004,0.0
ibm,97,7.776660665853029,24.0,0.727,0.22888144559743753,0.23741557352294868,-3.728623743718039
ibm,98,22.421360205595647,24.0,0.727,0.2091379574281998,0.22208868762356163,-6.1924341016900355
ibm,99,0.02363463392891685,24.0,0.727,0.1874833232962965,0.19012816460742277,-1.410707504339677
